"";"Cantabria - Total - Total - Transacciones";"Cantabria - Total - Entre 0-150.000 euros - Transacciones";"Cantabria - Total - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Total - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Total - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Total - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Total - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Total - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Total - Más de 1.050.000 euros - Transacciones";"Cantabria - Menos de 30 m2 - Total - Transacciones";"Cantabria - Menos de 30 m2 - Entre 0-150.000 euros - Transacciones";"Cantabria - Menos de 30 m2 - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Menos de 30 m2 - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Menos de 30 m2 - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Menos de 30 m2 - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Menos de 30 m2 - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Menos de 30 m2 - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Menos de 30 m2 - Más de 1.050.000 euros - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Total - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Entre 0-150.000 euros - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Entre 30,01 a 60 m2 - Más de 1.050.000 euros - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Total - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Entre 0-150.000 euros - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Entre 60,01 a 90 m2 - Más de 1.050.000 euros - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Total - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Entre 0-150.000 euros - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Entre 90,01 a 120  m2 - Más de 1.050.000 euros - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Total - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Entre 0-150.000 euros - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Entre 120,01 a 150 m2 - Más de 1.050.000 euros - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Total - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Entre 0-150.000 euros - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Entre 150,01 a 180  m2 - Más de 1.050.000 euros - Transacciones";"Cantabria - Más de 180  m2 - Total - Transacciones";"Cantabria - Más de 180  m2 - Entre 0-150.000 euros - Transacciones";"Cantabria - Más de 180  m2 - Entre 150.001-300.000 euros - Transacciones";"Cantabria - Más de 180  m2 - Entre 300.001-450.000 euros - Transacciones";"Cantabria - Más de 180  m2 - Entre 450.001-600.000 euros - Transacciones";"Cantabria - Más de 180  m2 - Entre 600.001-750.000 euros - Transacciones";"Cantabria - Más de 180  m2 - Entre 750.001-900.000 euros  - Transacciones";"Cantabria - Más de 180  m2 - Entre 900.001-1.050.000 euros - Transacciones";"Cantabria - Más de 180  m2 - Más de 1.050.000 euros - Transacciones";"España - Total - Total - Transacciones";"España - Total - Entre 0-150.000 euros - Transacciones";"España - Total - Entre 150.001-300.000 euros - Transacciones";"España - Total - Entre 300.001-450.000 euros - Transacciones";"España - Total - Entre 450.001-600.000 euros - Transacciones";"España - Total - Entre 600.001-750.000 euros - Transacciones";"España - Total - Entre 750.001-900.000 euros  - Transacciones";"España - Total - Entre 900.001-1.050.000 euros - Transacciones";"España - Total - Más de 1.050.000 euros - Transacciones";"España - Menos de 30 m2 - Total - Transacciones";"España - Menos de 30 m2 - Entre 0-150.000 euros - Transacciones";"España - Menos de 30 m2 - Entre 150.001-300.000 euros - Transacciones";"España - Menos de 30 m2 - Entre 300.001-450.000 euros - Transacciones";"España - Menos de 30 m2 - Entre 450.001-600.000 euros - Transacciones";"España - Menos de 30 m2 - Entre 600.001-750.000 euros - Transacciones";"España - Menos de 30 m2 - Entre 750.001-900.000 euros  - Transacciones";"España - Menos de 30 m2 - Entre 900.001-1.050.000 euros - Transacciones";"España - Menos de 30 m2 - Más de 1.050.000 euros - Transacciones";"España - Entre 30,01 a 60 m2 - Total - Transacciones";"España - Entre 30,01 a 60 m2 - Entre 0-150.000 euros - Transacciones";"España - Entre 30,01 a 60 m2 - Entre 150.001-300.000 euros - Transacciones";"España - Entre 30,01 a 60 m2 - Entre 300.001-450.000 euros - Transacciones";"España - Entre 30,01 a 60 m2 - Entre 450.001-600.000 euros - Transacciones";"España - Entre 30,01 a 60 m2 - Entre 600.001-750.000 euros - Transacciones";"España - Entre 30,01 a 60 m2 - Entre 750.001-900.000 euros  - Transacciones";"España - Entre 30,01 a 60 m2 - Entre 900.001-1.050.000 euros - Transacciones";"España - Entre 30,01 a 60 m2 - Más de 1.050.000 euros - Transacciones";"España - Entre 60,01 a 90 m2 - Total - Transacciones";"España - Entre 60,01 a 90 m2 - Entre 0-150.000 euros - Transacciones";"España - Entre 60,01 a 90 m2 - Entre 150.001-300.000 euros - Transacciones";"España - Entre 60,01 a 90 m2 - Entre 300.001-450.000 euros - Transacciones";"España - Entre 60,01 a 90 m2 - Entre 450.001-600.000 euros - Transacciones";"España - Entre 60,01 a 90 m2 - Entre 600.001-750.000 euros - Transacciones";"España - Entre 60,01 a 90 m2 - Entre 750.001-900.000 euros  - Transacciones";"España - Entre 60,01 a 90 m2 - Entre 900.001-1.050.000 euros - Transacciones";"España - Entre 60,01 a 90 m2 - Más de 1.050.000 euros - Transacciones";"España - Entre 90,01 a 120  m2 - Total - Transacciones";"España - Entre 90,01 a 120  m2 - Entre 0-150.000 euros - Transacciones";"España - Entre 90,01 a 120  m2 - Entre 150.001-300.000 euros - Transacciones";"España - Entre 90,01 a 120  m2 - Entre 300.001-450.000 euros - Transacciones";"España - Entre 90,01 a 120  m2 - Entre 450.001-600.000 euros - Transacciones";"España - Entre 90,01 a 120  m2 - Entre 600.001-750.000 euros - Transacciones";"España - Entre 90,01 a 120  m2 - Entre 750.001-900.000 euros  - Transacciones";"España - Entre 90,01 a 120  m2 - Entre 900.001-1.050.000 euros - Transacciones";"España - Entre 90,01 a 120  m2 - Más de 1.050.000 euros - Transacciones";"España - Entre 120,01 a 150 m2 - Total - Transacciones";"España - Entre 120,01 a 150 m2 - Entre 0-150.000 euros - Transacciones";"España - Entre 120,01 a 150 m2 - Entre 150.001-300.000 euros - Transacciones";"España - Entre 120,01 a 150 m2 - Entre 300.001-450.000 euros - Transacciones";"España - Entre 120,01 a 150 m2 - Entre 450.001-600.000 euros - Transacciones";"España - Entre 120,01 a 150 m2 - Entre 600.001-750.000 euros - Transacciones";"España - Entre 120,01 a 150 m2 - Entre 750.001-900.000 euros  - Transacciones";"España - Entre 120,01 a 150 m2 - Entre 900.001-1.050.000 euros - Transacciones";"España - Entre 120,01 a 150 m2 - Más de 1.050.000 euros - Transacciones";"España - Entre 150,01 a 180  m2 - Total - Transacciones";"España - Entre 150,01 a 180  m2 - Entre 0-150.000 euros - Transacciones";"España - Entre 150,01 a 180  m2 - Entre 150.001-300.000 euros - Transacciones";"España - Entre 150,01 a 180  m2 - Entre 300.001-450.000 euros - Transacciones";"España - Entre 150,01 a 180  m2 - Entre 450.001-600.000 euros - Transacciones";"España - Entre 150,01 a 180  m2 - Entre 600.001-750.000 euros - Transacciones";"España - Entre 150,01 a 180  m2 - Entre 750.001-900.000 euros  - Transacciones";"España - Entre 150,01 a 180  m2 - Entre 900.001-1.050.000 euros - Transacciones";"España - Entre 150,01 a 180  m2 - Más de 1.050.000 euros - Transacciones";"España - Más de 180  m2 - Total - Transacciones";"España - Más de 180  m2 - Entre 0-150.000 euros - Transacciones";"España - Más de 180  m2 - Entre 150.001-300.000 euros - Transacciones";"España - Más de 180  m2 - Entre 300.001-450.000 euros - Transacciones";"España - Más de 180  m2 - Entre 450.001-600.000 euros - Transacciones";"España - Más de 180  m2 - Entre 600.001-750.000 euros - Transacciones";"España - Más de 180  m2 - Entre 750.001-900.000 euros  - Transacciones";"España - Más de 180  m2 - Entre 900.001-1.050.000 euros - Transacciones";"España - Más de 180  m2 - Más de 1.050.000 euros - Transacciones"
"2004";"12831";"9927";"2474";"194";"42";"26";"58";"39";"71";"362";"362";"0";"0";"0";"0";"0";"0";"0";"2395";"2346";"49";"0";"0";"0";"0";"0";"0";"4452";"3911";"534";"7";"0";"0";"0";"0";"0";"2736";"2161";"531";"39";"5";"0";"0";"0";"0";"755";"344";"352";"54";"4";"0";"0";"1";"0";"430";"130";"242";"37";"17";"2";"0";"1";"1";"1701";"673";"766";"57";"16";"24";"58";"37";"70";"801695";"573881";"188961";"25538";"6564";"2445";"1255";"877";"2174";"17924";"17454";"427";"43";"0";"0";"0";"0";"0";"135277";"119657";"15251";"369";"0";"0";"0";"0";"0";"290067";"226419";"60446";"2926";"226";"45";"5";"0";"0";"177388";"121638";"49302";"5594";"706";"108";"37";"3";"0";"71585";"39780";"24218";"6002";"1131";"265";"106";"31";"52";"32105";"15524";"12010";"2973";"952";"323";"129";"74";"120";"77349";"33409";"27307";"7631";"3549";"1704";"978";"769";"2002"
"2004 - 1";"2623";"2112";"461";"29";"13";"2";"2";"2";"2";"32";"32";"0";"0";"0";"0";"0";"0";"0";"504";"497";"7";"0";"0";"0";"0";"0";"0";"904";"842";"61";"1";"0";"0";"0";"0";"0";"520";"455";"62";"3";"0";"0";"0";"0";"0";"125";"80";"38";"7";"0";"0";"0";"0";"0";"98";"33";"54";"2";"7";"1";"0";"1";"0";"440";"173";"239";"16";"6";"1";"2";"1";"2";"178620";"134312";"36301";"5340";"1495";"404";"246";"134";"388";"4748";"4623";"109";"16";"0";"0";"0";"0";"0";"30303";"27828";"2419";"56";"0";"0";"0";"0";"0";"63857";"52268";"11036";"506";"35";"10";"2";"0";"0";"39574";"28600";"9964";"885";"107";"10";"8";"0";"0";"16441";"9688";"4643";"1786";"232";"52";"18";"12";"10";"6878";"3601";"2313";"594";"238";"62";"19";"22";"29";"16819";"7704";"5817";"1497";"883";"270";"199";"100";"349"
"2004 - 2";"3320";"2594";"615";"57";"12";"1";"0";"29";"12";"188";"188";"0";"0";"0";"0";"0";"0";"0";"645";"632";"13";"0";"0";"0";"0";"0";"0";"1274";"1096";"178";"0";"0";"0";"0";"0";"0";"541";"392";"142";"5";"2";"0";"0";"0";"0";"195";"114";"62";"15";"3";"0";"0";"1";"0";"115";"36";"52";"25";"2";"0";"0";"0";"0";"362";"136";"168";"12";"5";"1";"0";"28";"12";"212468";"153800";"48628";"6442";"1673";"710";"353";"211";"651";"4643";"4531";"95";"17";"0";"0";"0";"0";"0";"36169";"32228";"3820";"121";"0";"0";"0";"0";"0";"76853";"60462";"15524";"793";"67";"7";"0";"0";"0";"47051";"33322";"12230";"1304";"160";"27";"8";"0";"0";"18696";"10511";"6323";"1441";"311";"57";"34";"3";"16";"8578";"4222";"3106";"803";"268";"75";"43";"29";"32";"20478";"8524";"7530";"1963";"867";"544";"268";"179";"603"
"2004 - 3";"3369";"2625";"628";"50";"5";"2";"47";"0";"12";"72";"72";"0";"0";"0";"0";"0";"0";"0";"647";"637";"10";"0";"0";"0";"0";"0";"0";"1190";"1056";"132";"2";"0";"0";"0";"0";"0";"764";"562";"173";"28";"1";"0";"0";"0";"0";"169";"93";"71";"5";"0";"0";"0";"0";"0";"106";"23";"71";"7";"4";"0";"0";"0";"1";"421";"182";"171";"8";"0";"2";"47";"0";"11";"190891";"136419";"44949";"6282";"1478";"600";"300";"333";"530";"3912";"3814";"92";"6";"0";"0";"0";"0";"0";"31458";"27868";"3507";"83";"0";"0";"0";"0";"0";"70178";"55082";"14290";"736";"58";"10";"2";"0";"0";"42343";"28811";"11933";"1382";"177";"30";"7";"3";"0";"16541";"9178";"5785";"1212";"247";"76";"17";"13";"13";"7588";"3568";"2805";"894";"174";"85";"25";"11";"26";"18871";"8098";"6537";"1969";"822";"399";"249";"306";"491"
"2004 - 4";"3519";"2596";"770";"58";"12";"21";"9";"8";"45";"70";"70";"0";"0";"0";"0";"0";"0";"0";"599";"580";"19";"0";"0";"0";"0";"0";"0";"1084";"917";"163";"4";"0";"0";"0";"0";"0";"911";"752";"154";"3";"2";"0";"0";"0";"0";"266";"57";"181";"27";"1";"0";"0";"0";"0";"111";"38";"65";"3";"4";"1";"0";"0";"0";"478";"182";"188";"21";"5";"20";"9";"8";"45";"219716";"149350";"59083";"7474";"1918";"731";"356";"199";"605";"4621";"4486";"131";"4";"0";"0";"0";"0";"0";"37347";"31733";"5505";"109";"0";"0";"0";"0";"0";"79179";"58607";"19596";"891";"66";"18";"1";"0";"0";"48420";"30905";"15175";"2023";"262";"41";"14";"0";"0";"19907";"10403";"7467";"1563";"341";"80";"37";"3";"13";"9061";"4133";"3786";"682";"272";"101";"42";"12";"33";"21181";"9083";"7423";"2202";"977";"491";"262";"184";"559"
"2005";"15108";"9904";"4660";"380";"81";"45";"13";"12";"13";"126";"126";"0";"0";"0";"0";"0";"0";"0";"2949";"2645";"303";"1";"0";"0";"0";"0";"0";"6407";"4850";"1510";"45";"0";"0";"2";"0";"0";"2697";"1474";"1127";"73";"20";"0";"1";"0";"2";"1050";"418";"513";"98";"12";"4";"3";"0";"2";"740";"158";"514";"35";"24";"5";"3";"1";"0";"1139";"233";"693";"128";"25";"36";"4";"11";"9";"843551";"511008";"272097";"42473";"9877";"3925";"1952";"1133";"1086";"10772";"10083";"638";"51";"0";"0";"0";"0";"0";"154753";"116963";"36832";"944";"0";"1";"0";"13";"0";"320812";"210379";"100671";"8881";"673";"156";"26";"5";"21";"189665";"108447";"66435";"12073";"2144";"427";"121";"5";"13";"76065";"34959";"29815";"7641";"2359";"727";"246";"165";"153";"35494";"12907";"15191";"4342";"1688";"692";"413";"186";"75";"55990";"17270";"22515";"8541";"3013";"1922";"1146";"759";"824"
"2005 - 1";"3389";"2202";"1099";"58";"14";"11";"1";"2";"2";"15";"15";"0";"0";"0";"0";"0";"0";"0";"590";"541";"49";"0";"0";"0";"0";"0";"0";"1379";"1062";"313";"4";"0";"0";"0";"0";"0";"599";"313";"272";"8";"4";"0";"0";"0";"2";"320";"156";"123";"36";"3";"1";"1";"0";"0";"230";"80";"141";"4";"2";"3";"0";"0";"0";"256";"35";"201";"6";"5";"7";"0";"2";"0";"186667";"119076";"56688";"7802";"1735";"698";"346";"193";"129";"2038";"1958";"79";"1";"0";"0";"0";"0";"0";"33564";"26679";"6758";"113";"0";"1";"0";"13";"0";"72358";"50054";"20901";"1277";"79";"28";"2";"2";"15";"42325";"25665";"14136";"2133";"302";"65";"17";"4";"3";"16697";"7897";"6470";"1712";"430";"123";"31";"19";"15";"8195";"3119";"3510";"937";"303";"166";"110";"36";"14";"11490";"3704";"4834";"1629";"621";"315";"186";"119";"82"
"2005 - 2";"4207";"2969";"1114";"87";"15";"12";"3";"3";"4";"60";"60";"0";"0";"0";"0";"0";"0";"0";"959";"870";"89";"0";"0";"0";"0";"0";"0";"1805";"1454";"339";"10";"0";"";"2";"0";"0";"641";"356";"267";"14";"3";"0";"1";"0";"0";"254";"91";"135";"23";"5";"0";"0";"0";"0";"158";"38";"104";"9";"6";"1";"0";"0";"0";"330";"100";"180";"31";"1";"11";"0";"3";"4";"218000";"136398";"66158";"10625";"2524";"1044";"486";"247";"518";"3592";"3324";"245";"23";"0";"0";"0";"0";"0";"40731";"31565";"8931";"235";"0";"0";"0";"0";"0";"81293";"54906";"24014";"2158";"174";"30";"8";"2";"1";"48264";"28431";"16121";"3063";"521";"97";"29";"0";"2";"19065";"9295";"6932";"1843";"617";"191";"74";"42";"71";"8741";"3349";"3616";"1071";"368";"181";"101";"35";"20";"16314";"5528";"6299";"2232";"844";"545";"274";"168";"424"
"2005 - 3";"3626";"2247";"1232";"99";"31";"5";"4";"6";"2";"22";"22";"0";"0";"0";"0";"0";"0";"0";"685";"612";"72";"1";"0";"0";"0";"0";"0";"1593";"1096";"484";"13";"0";"0";"0";"0";"0";"653";"351";"274";"24";"4";"0";"0";"0";"0";"217";"91";"108";"14";"3";"0";"1";"0";"0";"168";"20";"128";"10";"8";"0";"2";"0";"0";"288";"55";"166";"37";"16";"5";"1";"6";"2";"205247";"124128";"66186";"10456";"2474";"967";"506";"330";"200";"2370";"2233";"122";"15";"0";"0";"0";"0";"0";"37661";"28478";"8925";"258";"0";"0";"0";"0";"0";"78024";"51024";"24449";"2315";"185";"39";"8";"1";"3";"46311";"26429";"16081";"3059";"574";"129";"33";"1";"5";"18614";"8709";"7330";"1675";"587";"176";"50";"54";"33";"8707";"3124";"3810";"1054";"435";"152";"82";"29";"21";"13560";"4131";"5469";"2080";"693";"471";"333";"245";"138"
